aid,title,cover_url,,,,,
2451,「凭你也想讨伐魔王？」被勇者小队逐出队伍，只好在王都自在过活(你这种家伙别想打赢魔王),http://img.wenku8.com/image/2/2451/2451s.jpg,,,,,1
2537,自称贤者弟子的贤者,http://img.wenku8.com/image/2/2537/2537s.jpg,,,,,0
3558,狱门抚子在此,http://img.wenku8.com/image/3/3558/3558s.jpg,,,,,0
4043,雨之塔,http://img.wenku8.com/image/4/4043/4043s.jpg,,,,,1
2756,转生公主与天才千金的魔法革命(转生王女与天才千金的魔法革命),http://img.wenku8.com/image/2/2756/2756s.jpg,,,,,1
2751,我们不可能成为恋人！绝对不行。(※似乎可行？)（我怎么可能成为你的恋人，不行不行！）,http://img.wenku8.com/image/2/2751/2751s.jpg,,,,,1
3961,异界扫灭的战斗女仆,http://img.wenku8.com/image/3/3961/3961s.jpg,,,,,1
3755,碱性劣等生,http://img.wenku8.com/image/3/3755/3755s.jpg,,,,,1
3866,与她女友的不纯初恋,http://img.wenku8.com/image/3/3866/3866s.jpg,,,,,1
4040,夏天的少女归来了,http://img.wenku8.com/image/4/4040/4040s.jpg,,,,,1
3998,班上的公主是我的小狗,http://img.wenku8.com/image/3/3998/3998s.jpg,,,,,1
3519,我买下了与她的每周密会～以五千圆为借口，共度两人时光～(一周一次买下同班同学的那些事),http://img.wenku8.com/image/3/3519/3519s.jpg,,,,,1
4026,花物语,http://img.wenku8.com/image/4/4026/4026s.jpg,,,,,0
3590,Stellar step,http://img.wenku8.com/image/3/3590/3590s.jpg,,,,,0
4014,在揍爆向导天使之后，我当上了死灵术师,http://img.wenku8.com/image/4/4014/4014s.jpg,,,,,0
3210,被夹在百合之间的我，顺势劈腿了(关于被百合夹在中间的我，顺势脚踏两只船这件事),http://img.wenku8.com/image/3/3210/3210s.jpg,,,,,1
3763,心上人的妹妹(我心爱之人的妹妹),http://img.wenku8.com/image/3/3763/3763s.jpg,,,,,1
2255,魔女之旅,http://img.wenku8.com/image/2/2255/2255s.jpg,,,,,0
2480,怕痛的我，把防御力点满就对了,http://img.wenku8.com/image/2/2480/2480s.jpg,,,,,0
3986,谁才是我的百合呢！？,http://img.wenku8.com/image/3/3986/3986s.jpg,,,,,1
2258,高贵魔女 第506统合战斗飞行团,http://img.wenku8.com/image/2/2258/2258s.jpg,,,,,0
3735,少女星间漂流记,http://img.wenku8.com/image/3/3735/3735s.jpg,,,,,0
3885,寂静魔女 索姆斯没人要中队Reboot,http://img.wenku8.com/image/3/3885/3885s.jpg,,,,,0
3964,双星·飓风·离乡人,http://img.wenku8.com/image/3/3964/3964s.jpg,,,,,1
3963,摩卡奇诺-小学生百合短篇集-,http://img.wenku8.com/image/3/3963/3963s.jpg,,,,,1
3962,转生千金卡特娜在异世界追寻梦想成为刀匠！,http://img.wenku8.com/image/3/3962/3962s.jpg,,,,,0
2895,声优广播的幕前幕后(声优广播的台前幕后),http://img.wenku8.com/image/2/2895/2895s.jpg,,,,,0
3611,我的初恋太过羞耻无法对人诉说,http://img.wenku8.com/image/3/3611/3611s.jpg,,,,,0
3917,志乃与恋 Future,http://img.wenku8.com/image/3/3917/3917s.jpg,,,,,1
1683,安达与岛村,http://img.wenku8.com/image/1/1683/1683s.jpg,,,,,1
3785,想成为勇者的少女，与注定成为勇者的她(想要成为勇者的少女，与理应成为勇者的她),http://img.wenku8.com/image/3/3785/3785s.jpg,,,,,1
3585,败给性格恶劣的天才儿时玩伴，初体验全部被她夺走(败给了性格恶劣的天才青梅，初体验全部被夺走这件事),http://img.wenku8.com/image/3/3585/3585s.jpg,,,,,1
3332,我们没有故事,http://img.wenku8.com/image/3/3332/3332s.jpg,,,,,0
3894,两个人是光之美少女,http://img.wenku8.com/image/3/3894/3894s.jpg,,,,,0
3625,捡到小猫，我也仅是小猫,http://img.wenku8.com/image/3/3625/3625s.jpg,,,,,1
3872,人妻教师被班里的女高中生迷的神魂颠倒的故事,http://img.wenku8.com/image/3/3872/3872s.jpg,,,,,1
3863,魔女之旅 学园物语,http://img.wenku8.com/image/3/3863/3863s.jpg,,,,,0
3862,少女所不期望的英雄史诗,http://img.wenku8.com/image/3/3862/3862s.jpg,,,,,1
2441,持续狩猎史莱姆三百年，不知不觉就练到LV MAX,http://img.wenku8.com/image/2/2441/2441s.jpg,,,,,0
3854,鹿乃江同学的左手,http://img.wenku8.com/image/3/3854/3854s.jpg,,,,,1
2792,家里蹲吸血姬的郁闷(家里蹲吸血姬的苦闷),http://img.wenku8.com/image/2/2792/2792s.jpg,,,,,0
2468,里世界远足(里世界郊游),http://img.wenku8.com/image/2/2468/2468s.jpg,,,,,1
3542,CARNEADES,http://img.wenku8.com/image/3/3542/3542s.jpg,,,,,1
3833,在放学后的教室里，恋爱浮现,http://img.wenku8.com/image/3/3833/3833s.jpg,,,,,1
2152,熊熊勇闯异世界,http://img.wenku8.com/image/2/2152/2152s.jpg,,,,,0
3810,经学少女传~考试地狱中的男装大小姐~,http://img.wenku8.com/image/3/3810/3810s.jpg,,,,,0
2651,处刑少女的生存之道,http://img.wenku8.com/image/2/2651/2651s.jpg,,,,,1
