text_id,block_id,line_id,dialogue
100002_8,1,1,我是阳光角色……！
100002_8,1,2,芦谷祭
100002_8,1,3,呀——！！
100002_8,1,4,甘织同学，好可爱！
100002_8,1,5,哇哇哇哇哇，我就知道cosplay肯定很适合你，果然很适合！哇啊好开心！能看到可爱的甘织同学好开心！
100002_8,1,6,啊，啊哈哈哈。是吗？谢谢☆
100002_8,1,7,太糟糕了
100002_8,1,8,嗯？
100002_8,1,9,说实话，我不太擅长应付恐怖的东西，但能看到甘织同学的cos，我觉得来鬼屋真是太好了……
100002_8,1,10,我懂……文化祭太棒了……每天都文化祭就好了……
100002_8,1,11,啊哈哈，你太夸我了啦☆
100002_8,1,12,咦……咦，咦，等等。平野，长谷川……你们认识这位姐姐吗……？
100002_8,1,13,咦～！？西山，你不知道吗～！？
100002_8,1,14,甘织同学和我们一起组队参加了球技大赛哦！跟她搭话她也会回话！对吧，甘织同学！
100002_8,1,15,嗯、嗯☆
100002_8,1,16,真的假的……？咦，你们是上了高中才改头换面的吗……？为什么……？完全搞不懂……Why……？
100002_8,1,17,我叫甘织玲奈子。一直以来都受到平野同学和长谷川同学的照顾☆
100002_8,1,18,哈哇啊啊啊啊啊……！？
100002_8,1,19,毕竟甘织同学可是芦谷高中顶尖偶像团体Queentet的一员呢！
100002_8,1,20,她是那位王冢真唯同学的朋友，也是班上的风云人物！无论到哪里都会被当作公主对待，和学校里的所有人都成为了朋友，每天都会被告白，鞋柜里总是塞满了情书，就连老师也超疼爱她的！
100002_8,1,21,咦～？就算你这么夸我，我也只会露出笑容哦～☆
100002_8,1,22,————
100002_8,1,23,西、西山——！？
100002_8,1,24,啊啊啊啊啊都是因为她在这么近的距离下沐浴了甘织同学的笑容！
100002_8,1,25,怎么回事！？
100002_8,1,26,对不起，甘织同学！我们已经习惯了Queentet的光芒，所以还能承受得住！不，其实心跳数已经快到很不妙了！
100002_8,1,27,西山她因为平时没有生活在和可爱女生说话的环境，所以这是致命伤！不好意思，我们打完招呼就先告辞了！抱歉，西山！我们三笨蛋同盟要回去黑暗的世界了！
100002_8,1,28,怎么回事……
100002_8,1,29,小玲奈～
100002_8,1,30,噢噢……
100002_8,1,31,啊，紫阳花同学，你来得真快。
100002_8,1,32,嗯。大家都收下了传单。都是些好人，太好了。
100002_8,1,33,不过话说回来……
100002_8,1,34,？
100002_8,1,35,没什么……只是觉得紫阳花同学的修女打扮太适合你了，好可爱……
100002_8,1,36,如果觉得可爱，希望你能好好说出来
100002_8,1,37,咦——？
100002_8,1,38,就算突然被夸奖，我也只能回以笑容哦～
100002_8,1,39,呜哇，甘织同学一个人诶（笑）
100002_8,1,40,不是Queentet吗？（嘲笑）
100002_8,1,41,好寂寞w
100002_8,1,42,一个人逛文化祭也不怎么开心……可以陪我一起逛吗？
100002_8,1,43,我闲着没事，一起逛逛吧
100002_8,1,44,没能成为阳角，却只有地位成为了阳角，自尊心膨胀的可怜女人
100002_8,1,45,啊！姐姐学姐——！
100002_8,1,46,星来同学！
100002_8,1,47,我找你好久了！呃……你那是什么诡异的笑容？
100002_8,1,48,没什么！哎呀，居然能在这里遇见你，真是巧啊！
100002_8,1,49,姐姐……
100002_8,1,50,唔，妹妹……！
100002_8,1,51,姐姐，前几天承蒙你照顾了。
100002_8,1,52,啊，不会，没什么……
100002_8,1,53,难得来姐姐的高中玩……为什么你一个人？
100002_8,1,54,因为我想在不受任何人打扰的情况下，按照自己的步调悠闲地逛文化祭。妹妹应该不懂吧？这种水平的话题（笑）。
100002_8,1,55,啊，是吗？那请慢慢逛。
100002_8,1,56,话虽如此！你们三个都是第一次来芦谷高中吧！？机会难得，就由我来带你们参观吧！
100002_8,1,57,那种事无所谓啦～
100002_8,1,58,呐，美丽又漂亮的学姐～你应该有什么想为我做的事吧～？
100002_8,1,59,咦？嘿嘿嘿，讨厌啦，就算你这么夸我，我也只会露出笑容哦～？
