什么	0.2538
没有	0.2476
这样	0.2150
同学	0.2122
自己	0.2114
宫城	0.1610
觉得	0.1579
我们	0.1572
知道	0.1566
不是	0.1519
虽然	0.1499
还是	0.1451
仙台	0.1442
仙台 同学	0.1406
这么	0.1334
的话	0.1300
现在	0.1225
感觉	0.1205
这种	0.1199
这个	0.1197
不会	0.1146
一样	0.1139
已经	0.1113
时候	0.1099
一起	0.1092
喜欢	0.1091
就是	0.1060
小牧	0.1009
可以	0.0988
应该	0.0959
只是	0.0931
起来	0.0816
一个	0.0807
可能	0.0803
开始	0.0784
怎么	0.0778
事情	0.0769
今天	0.0761
声音	0.0753
那个	0.0742
安达	0.0733
岛村	0.0732
东西	0.0716
之后	0.0711
一直	0.0701
真的	0.0697
一下	0.0680
像是	0.0674
学姐	0.0659
老师	0.0643
看到	0.0638
然后	0.0626
宁宁	0.0620
有点	0.0610
为什么	0.0603
就算	0.0596
但是	0.0579
明明	0.0576
无法	0.0567
这里	0.0554
看着	0.0538
好像	0.0533
一边	0.0528
地方	0.0526
似乎	0.0526
那么	0.0524
房间	0.0524
要是	0.0507
感到	0.0506
时间	0.0505
之前	0.0500
完全	0.0494
朋友	0.0493
出来	0.0492
变得	0.0486
表情	0.0484
姐姐	0.0474
开心	0.0467
一点	0.0459
有些	0.0454
身体	0.0442
她们	0.0442
而且	0.0440
突然	0.0435
问题	0.0425
想要	0.0420
只有	0.0419
那样	0.0419
关系	0.0417
不要	0.0408
或许	0.0406
可爱	0.0398
样子	0.0394
那种	0.0394
只要	0.0391
为了	0.0386
不想	0.0385
真是	0.0382
还有	0.0379
回答	0.0377
