filename,weighted,book_id,title
3917_163022,0.9967824330430194,3917,志乃与恋 Future
2788_110290,0.9281482974245268,2788,将放言说不会输的高颜值女孩，全力征服的百合故事
3763_163631,0.9137918541462302,3763,心上人的妹妹(我心爱之人的妹妹)
3585_162175,0.8757091766005728,3585,败给性格恶劣的天才儿时玩伴，初体验全部被她夺走(败给了性格恶劣的天才青梅，初体验全部被夺走这件事)
3542_149292,0.8579891274972299,3542,CARNEADES
3816_158814,0.8489751650558192,3816,猫之山宁宁子是猫族
3872_161224,0.8433611078613596,3872,人妻教师被班里的女高中生迷的神魂颠倒的故事
2896_117063,0.8320960316789046,2896,将放言说女生之间不可能的女孩子，在百日之内彻底攻陷的百合故事
3519_148571,0.8184523485797667,3519,我买下了与她的每周密会～以五千圆为借口，共度两人时光～(一周一次买下同班同学的那些事)
3519_166567,0.8161696215489536,3519,我买下了与她的每周密会～以五千圆为借口，共度两人时光～(一周一次买下同班同学的那些事)
2751_107817,0.8153962483244855,2751,我们不可能成为恋人！绝对不行。(※似乎可行？)（我怎么可能成为你的恋人，不行不行！）
3963_164265,0.799350367253766,3963,摩卡奇诺-小学生百合短篇集-
3519_160917,0.7973065450981937,3519,我买下了与她的每周密会～以五千圆为借口，共度两人时光～(一周一次买下同班同学的那些事)
3763_164862,0.7941463486051776,3763,心上人的妹妹(我心爱之人的妹妹)
3585_149565,0.7927517636455589,3585,败给性格恶劣的天才儿时玩伴，初体验全部被她夺走(败给了性格恶劣的天才青梅，初体验全部被夺走这件事)
3585_156877,0.7891535910664762,3585,败给性格恶劣的天才儿时玩伴，初体验全部被她夺走(败给了性格恶劣的天才青梅，初体验全部被夺走这件事)
3519_153113,0.7888699642518067,3519,我买下了与她的每周密会～以五千圆为借口，共度两人时光～(一周一次买下同班同学的那些事)
1020_29857,0.7853724052484429,1020,384403km 绑架你到月球
2099_75597,0.784490172179009,2099,Aster girl（紫菀少女）
2905_117172,0.7825094800859148,2905,被百合夹击的女子有罪吗？(夹在百合中间的女人，有罪吗？)
3763_161237,0.7814851307765793,3763,心上人的妹妹(我心爱之人的妹妹)
3585_156682,0.7780550511865534,3585,败给性格恶劣的天才儿时玩伴，初体验全部被她夺走(败给了性格恶劣的天才青梅，初体验全部被夺走这件事)
3519_146347,0.7776297076733849,3519,我买下了与她的每周密会～以五千圆为借口，共度两人时光～(一周一次买下同班同学的那些事)
3998_165601,0.7742355841656653,3998,班上的公主是我的小狗
3585_152730,0.771848470480186,3585,败给性格恶劣的天才儿时玩伴，初体验全部被她夺走(败给了性格恶劣的天才青梅，初体验全部被夺走这件事)
3519_157441,0.7659000216734063,3519,我买下了与她的每周密会～以五千圆为借口，共度两人时光～(一周一次买下同班同学的那些事)
3519_145969,0.7581268954752897,3519,我买下了与她的每周密会～以五千圆为借口，共度两人时光～(一周一次买下同班同学的那些事)
3763_157110,0.7560346244902338,3763,心上人的妹妹(我心爱之人的妹妹)
2756_134755,0.7552864334895161,2756,转生公主与天才千金的魔法革命(转生王女与天才千金的魔法革命)
2751_118989,0.7536234325268197,2751,我们不可能成为恋人！绝对不行。(※似乎可行？)（我怎么可能成为你的恋人，不行不行！）
